título;título_alternativo;criador;contribuidor;assunto;resumo;descrição;editora;edição;data;tipo;identificador;fonte;idioma;cobertura;nível_de_educação_da_audiência;extensão;direitos;citação_bibliográfica;arquivo;coleção
"""O mar que banha a ilha de Goré""";;Kiusam de Oliveira;Taisa Borges;Culturas afro-brasileiras, escravizados, ancestralidade;Neste livro, o leitor fará o caminho inverso das viagens empreendidas pelos africanos escravizados a partir do século XVI. Pelas mãos de Kika, ele conhecerá uma terra rica e cheia de histórias, e poderá encontrar o caminho para compreender a história afro-brasileira e ajudar a delicadamente incluir o negro e sua trajetória traumática no imaginário da formação da cultura brasileira.;;Peirópolis;1ª;2014;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1054864?guid=1716213830858&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716213830858%26quantidadePaginas%3d1%26codigoRegistro%3d1054864%231054864&i=2;pt-BR;;infantojuvenil;44;;OLIVEIRA, Kiusam de. O mar que banha a ilha de Goré. São Paulo: [S.l.] : Editora Peirópolis : Fundação Biblioteca Nacional, 2014.;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1842042?guid=1726349624284&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726349624284%26quantidadePaginas%3d1%26codigoRegistro%3d1842042%231842042&i=3;Afro-brasileira
"""Os orixás: sob o céu do Brasil""";;Marion Villas Boas;Sandro Lopes;Culturas afro-brasileiras, orixás, deuses afro-brasileiros, candomblé;O livro conta como pessoas vindas de diferentes regiões da África chegaram ao Brasil e se uniram pelo culto aos orixás, explicando a origem do candomblé e mostrando sua riqueza.;;Biruta ;1ª ;2015;Físico;;https://www.editorabiruta.com.br/products/os-orixas-sob-o-ceu-do-brasil?_pos=1&_sid=1ccf9e7fe&_ss=r;pt-BR;;infantojuvenil;94;;VILLAS BOAS, Marion. Os orixás: sob o céu do Brasil. São Paulo: Biruta, 2013.;https://www.editorabiruta.com.br/cdn/shop/products/Os_orixas_no_ceu_do_brasil_3Mb_160x160.jpg?v=1681741563;Afro-brasileira
"""Axé, cores do Brasil : livro de colorir""";;Rafael Nobre;Rafael Nobre;Culturas afro-brasileiras, mitologia afro-brasileira, orixás;A proposta deste livro de colorir é dar ao leitor a oportunidade de entrar em comunhão com o simbolismo mais profundo das mitologias africanas que vieram para o Brasil e formaram a base das religiões afro-brasileiras. O leitor vai encontrar no livro imagens que representam cada um dos orixás mais conhecidos e cultuados no Brasil. Cada imagem é acompanhada de um pequeno texto que diz quem é a divindade e quais são as suas características principais.;;Pallas ;1ª;2015;Físico;;https://www.amazon.com.br/Ax%C3%A9-Cores-Brasil-Livro-Colorir/dp/8534705321/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2DCYKQT9Z0LXU&dib=eyJ2IjoiMSJ9.mCCbSBW4x8OFRMEgVquSYw.1adgj8MJ4aypumjZ2P8SCH9MM7yTC56sidsmW2GOriw&dib_tag=se&keywords=ax%C3%A9%2C+cores+do+brasil%3A+livro+de+colorir&qid=1716221679&sprefix=ax%C3%A9+cores+do+brasil+livro+de+colorir%2Caps%2C496&sr=8-1;pt-BR;;infantojuvenil;80;;NOBRE, Rafael. Axé, cores do Brasil : livro de colorir. Rio de Janeiro: Pallas, 2015.;https://m.media-amazon.com/images/I/B1aVgriUVZS._SY425_.jpg;Afro-brasileira
""" Modupé, meu amigo"" ";;Stefania Capone, Leonardo Carneiro;Victor Tavares;Culturas afro-brasileiras, Candomblé, umbanda;Anderson e Fabinho planejam uma viagem à praia, e as novidades do lugar mudarão a vida de Anderson. A descoberta das festas de matriz africana desperta a curiosidade em saber mais sobre as origens das palavras e sobre as divindades pertencentes à umbanda e ao candomblé. Guiado pelo amigo, ele irá perceber a beleza da diversidade dos cultos brasileiros e a riqueza de uma religião ainda pouco compreendida e vítima de preconceito em boa parte do Brasil.;;Pallas ;1ª;2015;Físico;;https://pallaseditora.com.br/produto/Modupe__meu_amigo/282/;pt-BR;;infantojuvenil;40;;CAPONE, Stefania, CARNEIRO, Leonardo. Modupé, meu amigo. Rio de Janeiro: Pallas, 2015.;https://pallaseditora.com.br/admin/_m2brupload/produtos/282/562_med.jpg;Afro-brasileira
"""Clebynho: o babalorixá aprendiz""";;Leandro Muller;Não consta;Culturas afro-brasileiras, religiosidade afro-brasileira, magia;É a história de um menino nascido e criado na periferia carioca que acaba indo estudar em uma escola mágica. Ali, ele tem aulas de matérias nada convencionais, como “Hidrólios e Etnobotânica do Amazonas”, “Vodu haitiano”, “Comidas ritualísticas”, “Danças ritualísticas”, “Pontos de evocação”, “Entidades” e “Zoologia mística”.;;Pallas ;1ª;2010;Físico;;https://www.amazon.com.br/Clebynho-Babalorix%C3%A1-Aprendiz-Leandro-Muller/dp/8534704392/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=28J5N622O4ZW9&dib=eyJ2IjoiMSJ9.2U9OmBh_qv9HOfuWoISmhg.lv6Vu--d0oo5qN5BznphZMthUf5QdceuvlVmDHFZYoo&dib_tag=se&keywords=clebynho%3A+o+babalorix%C3%A1+aprendiz&qid=1716221808&sprefix=clebynho+o+babalorix%C3%A1+aprendiz%2Caps%2C399&sr=8-1;pt-BR;;infantojuvenil;110;;MULLER, Leandro. Clebynho : o babalorixá aprendiz. Rio de Janeiro: Pallas, 2010.;https://m.media-amazon.com/images/I/91Y1aADNpBL._SY425_.jpg;Afro-brasileira
"""Zumbi, assombra quem?""";;Allan Rosa;Edson Ikê;Culturas afro-brasileiras, Zumbi, quilombolas;Zumbi assombra quem?” é o caminho do aprendizado do menino Candê sobre as lutas, brinquedos e mistérios de ancestrais quilombolas, descobrindo aventuras antigas que se misturam ao cotidiano de casa e da escola, e à liberdade da rua. Pelos seus olhos de menino surgem os mistérios, alegrias e medos de Zumbi ao lidar com perguntas que desafiam seu povo há séculos.;;Nós ;1ª;2017;Físico;;https://editoranos.com.br/produto/zumbi-assombra-quem/;pt-BR;;infantojuvenil;96;;ROSA, Allan. Zumbi, assombra quem? São Paulo: Editora Nós, 2017.;https://editoranos.com.br/wp-content/uploads/2021/05/nos_capas_nossa-loja31.jpg;Afro-brasileira
"""Aimó: uma viagem pelo mundo dos orixás""";;Reginaldo Prandi;Rimon Guimarães;Culturas afro-brasileiras, orixás, mitologia iorubá;Fala da história de Aimó, que significa “a menina que ninguém sabe quem é”, nascida na África e levada para o Brasil para ser escrava, e que de repente acorda em um lugar estranho, habitado pelos deuses orixás e pelos espíritos dos mortos que aguardam o momento de seu renascimento.;;Seguinte;1ª;2017;Físico;;https://www.amazon.com.br/Aim%C3%B3-Reginaldo-Prandi/dp/8555340403/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2NMP51G7SBZC9&dib=eyJ2IjoiMSJ9.imA15ZP4o2K8VXcoq5zmCg.KNIbR338bSFlUro1ItE8rC7PJh5YGRJyrIv6qoypN58&dib_tag=se&keywords=aim%C3%B3%3A+uma+viagem+pelo+mundo+dos+orix%C3%A1s&qid=1716222101&sprefix=aim%C3%B3+uma+viagem+pelo+mundo+dos+orix%C3%A1s%2Caps%2C368&sr=8-1;pt-BR;;infantojuvenil;258;;PRANDI, Reginaldo. Aimó: uma viagem pelo mundo dos orixás.São Paulo: Seguinte, 2017.;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1687275?guid=1726350049131&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1726350049131%26quantidadePaginas%3d1%26codigoRegistro%3d1687275%231687275&i=1;Afro-brasileira
"""Meu avô é um tata""";;Janaina de Figueiredo;Bruna Lubambo;Culturas afro-brasileiras, ancestralidade, religiões afro-brasileiras;É a história de um avô, homem muito sábio. Ele tem sensibilidade para compreender as pessoas e as forças da natureza, pois é um líder de religiões afro-brasileiras.;;Pallas ;1ª;2018;Físico;;https://pallaseditora.com.br/produto/Meu_avo_e_um_Tata/307/;pt-BR;;infantojuvenil;36;;FIGUEIREDO, Janaína de. Meu avô é um Tata. Rio de Janeiro: Pallas, 2018.;https://pallaseditora.com.br/admin/_m2brupload/produtos/307/656_med.jpg;Afro-brasileira
"""Uma festa de cores: Memórias de um tecido brasileiro""";;Anna Gobel, Ronaldo Fraga;Não consta;Culturas afro-brasileiras, festas populares;Por meio de imagens que exploram cores e formas, padrões e texturas da chita, com figuras e cenários de festas populares, como o maracatu, as festas juninas, as danças e os folguedos, este livro apresenta a história de um tecido “democrático”, com força e personalidade suficientes para sobreviver à globalização;;Autêntica ;2ª;2019;Físico;;https://www.amazon.com.br/Uma-festa-cores-Brochura-brasileiro/dp/855130626X/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=FV8Z4HRRJW70&dib=eyJ2IjoiMSJ9.p5Re2En2vI3efFiMkC9KCg.vjWAHaf0G6aQNuoGPvGjTShuphZyM4w3qcuISYb-T2g&dib_tag=se&keywords=Uma+festa+de+cores+-+Brochura%3A+Mem%C3%B3rias+de+um+tecido+brasileiro&qid=1716227874&sprefix=uma+festa+de+cores+-+brochura+mem%C3%B3rias+de+um+tecido+brasileiro%2Caps%2C556&sr=8-1;pt-BR;;infantojuvenil;46;;GOBEL, Anna, FRAGA, Ronaldo. Uma festa de cores : memórias de um tecido brasileiro.Belo Horizonte : Autêntica, 2019.;https://m.media-amazon.com/images/I/91CuYxocrKL._SY425_.jpg;Afro-brasileira
"""Dona Brígida""";;Sonia Rosa ;Walter Lara;Culturas afro-brasilerias, rezadeira, tradição popular;Fala da história de Dona Brígida, uma rezadeira, e o encontor com uma menina que ficou doente do pé, ensinando que entre o céu e a terra existe muita coisa que não compreendemo, como a força das palavras e o poder do amor;;Mazza;1ª;2019;Físico;;https://mazzaedicoes.com.br/?s=Dona+Br%C3%ADgida;pt-BR;;infantojuvenil;24;;ROSA, Sonia. Dona Brigida. Belo Horizonte: Mazza Edições, 2019.;https://mazzaedicoes.com.br/wp-content/uploads/2021/05/DONA-BRIGIDA-13-1.png;Afro-brasileira
"""Kianda: a sereia de Angola que veio visitar o Brasil""";;Raul Lody;Raul Lody;Culturas afro-brasilerias, mitologia africana e afro-brasileira, Angola;Kianda, uma sereia que vive em Angola, resolve atravessar o Oceano Atlântico para conhecer Iara, a sereia do Rio Amazonas, e o Brasil, país do qual ouviu tantas histórias e que tanto tem em comum com a cultura e povos do continente africano. Em sua viagem, encontra entidades africanas das águas, como Olokun e Iemanjá, se encanta com as belezas do Oceano Atlântico, e, finalmente, encontra Iara, que vira sua amiga e que lhe ensina sobre a importância do Rio Amazonas para o Brasil.;;Pallas Mini;1ª;2020;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1780918?guid=1716228157611&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716228157611%26quantidadePaginas%3d1%26codigoRegistro%3d1780918%231780918&i=1;pt-BR;;infantojuvenil;48;;LODY, Raul. Kianda : a sereia de Angola que veio visitar o Brasil. Rio de Janeiro: Pallas Míni, 2020.;https://m.media-amazon.com/images/I/81PFzuSzQ4L._AC_UL320_.jpg;Afro-brasileira
"""É o Tambor de Crioula!""";;Sonia Rosa ;Mariana Massarani;Culturas afro-brasileiras, festas populares, tambor de Crioula;Uma narrativa em versos que busca levar os leitores para dentro da roda, embalados pelo ritmo da batida dos tambores e hipnotizados pelas cores em movimento das saias das dançadeiras;;Projeto;1ª;2000;Físico;;https://www.amazon.com.br/%C3%89-TAMBOR-CRIOULA-MARIANA-MASSARANI/dp/6587299008/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=NZBFUDICJ5XW&dib=eyJ2IjoiMSJ9.Y4TtIT1Y08WhYDnbVyB3vciM3I6FRtRUg6Cl5yb5UkRD80AqD3ZUqtPttKwM7RBiLrtnptiyKuOMq8SsXuimYsNFTBzlzzPk8zjfEU4RFNqvpNz2IGEW4i3czcsN3gjaOKIH6xGZJyHvKdOsm1isQUiATu3xhPp0yRDyXmnbee5yewZv-UgG4T0Bx1cpCYM_.K6QicwKVPU_ho7e_qAZ4ldEE0OhRRmcD_9cIeP8wLPg&dib_tag=se&keywords=%C3%89+o+Tambor+de+Crioula%21&qid=1716228523&sprefix=%C3%A9+o+tambor+de+crioula+%2Caps%2C365&sr=8-1;pt-BR;;infantojuvenil;não consta;;ROSA, Sonia. É o Tambor de Crioula! - Rio Grande do Sul: Editora Projetos, 2000.;https://tse4.mm.bing.net/th?id=OIP.BWKRMfuEhmTIarS11QR3ywHaHa&pid=Api&P=0&h=180;Afro-brasileira
"A Bela Adormecida do Samba""";;Sonia Rosa ;Luciana Grether;Culturas afro-brasileiras, carnaval, tradições, ancestralidade;Um reconto do clássico A Bela Adormecida, numa versão brasileira, que destaca o carnaval, a tradição das escolas do subúrbio nos desfiles e a festa nos barracões do samba. Dá vivas a passistas e percussionistas, mestres-salas e porta-bandeiras. Celebra a beleza, a alegria, a emoção, a ancestralidade, o amor, a criatividade, o encontro e a união.;;Mazza ;1ª;2021;Físico;;https://mazzaedicoes.com.br/?s=A+Bela+Adormecida+do+Samba;pt-BR;;infantojuvenil;24;;ROSA, Sonia. A Bela Adormecida do Samba. Minas Gerais: Mazza Edições, 2021.;https://mazzaedicoes.com.br/wp-content/uploads/2020/01/A-Bela-adormecida-do-samba-13-1.png;Afro-brasileira
"""Ogum: O inventor de ferramentas""";;Luiz Antonio Simas;Breno Loeser;Culturas afro-brasileiras, orixás, mitologia iorubá, Ogum;Nesta obra, o autor conta em poesia de cordel um tradicional mito de Ogum, Orixá da tecnologia, da estratégia e do progresso;;Arole Cultural;1ª;2021;Físico;;https://www.arolecultural.com.br/shop/ogum;pt-BR;;infantojuvenil;32;;SIMAS, Luiz Antonio. Ogum: O inventor de ferramentas. São Paulo: Arole Cultural, 2021. ;https://www.arolecultural.com.br/site/views/00_projects/diegodeoxossi/content/image/shop/e13e323e7ffadbff4333967d23fbd7a8.jpg;Afro-brasileira
"""A professora da floresta e a grande serpente""";;Irene Vasco;Ruan Palomino;Culturas afro-brasileiras, povo da floresta, população ribeirinha, Amazonas;Uma jovem professora vai trabalhar em uma escola no coração da Floresta Amazônica. Chega animada, carregada de livros, e seus alunos logo se encantam pelas histórias que eles carregam. Com o passar do tempo, porém, a jovem descobre que tem mais a aprender com seus alunos e famílias que a ensinar, pois nem todas as histórias e conhecimentos estão nas páginas de seus livros;Traduzido por Marcia Leite;Pulo do Gato;1ª;2021;Físico;;https://editorapulodogato.lojaintegrada.com.br/a-professora-da-floresta-e-a-grande-serpente;pt-BR;;infantojuvenil;36;;VASCO, Irene. A professora da floresta e a grande serpente. São Paulo: Pulo do Gato, 2021.;https://m.media-amazon.com/images/I/A1bTKFFP+gL._AC_UL320_.jpg;Afro-brasileira
"""A África que você fala""";;Claudio Fragata;Mauricio Negro;Culturas afro-brasileiras, cultura banto, jeje, iorubá, quimbundo;De forma leve e divertida, A África que você fala faz um passeio por palavras que pegamos emprestadas de idiomas como quimbundo, iorubá, jeje e banto.;;Globinho;1ª;2021;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1783980?guid=1716229293381&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716229293381%26quantidadePaginas%3d1%26codigoRegistro%3d1783980%231783980&i=1;pt-BR;;infantojuvenil;32;;FRAGATA, Claudio. A África que você fala. Rio de Janeiro: Globinho, 2020.;https://m.media-amazon.com/images/I/51zqjOq1kmL._SX342_SY445_.jpg;Afro-brasileira
"""De passinho em passinho : um livro para dançar e sonhar""";;Ótavio Junior;Bruna Lubambo;Culturas afro-brasileiras, Rio de Janeiro, dança, samba, frevo capoeira;Nascido no Rio de Janeiro e misturando ritmos do funk, da capoeira, do samba e do frevo, o passinho tem ganhado cada vez mais dançarinos e participantes apaixonados, que levam às pistas, às competições e ao mundo um jeito único de dançar e se expressar.;;Companhia das Letrinhas;1ª;2021;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1789351?guid=1716229772049&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716229772049%26quantidadePaginas%3d1%26codigoRegistro%3d1789351%231789351&i=1;pt-BR;;infantojuvenil;32;;Otávio Júnior. De passinho em passinho : um livro para dançar e sonhar. São Paulo: Companhia das Letrinhas, 2021.;https://m.media-amazon.com/images/I/51sGYz2TmmS._SX342_SY445_.jpg;Afro-brasileira
"""Sapatinho de Makota""";;Janaina de Figueiredo;Camilo Martins;Culturas afro-brasileiras, terreiros, ancestralidade;O livro conta a história de um sapatinho muito simples, que não imaginava que um dia teria a honra de servir à majestade do terreiro, a Makota.;;Pallas ;1ª;2022;Físico;;https://pallaseditora.com.br/produto/Sapatinho_de_Makota/338/;pt-BR;;infantojuvenil;32;;FIGUEIREDO, Janaína de. Sapatinho de Makota. Rio de Janeiro: Pallas, 2022.;https://pallaseditora.com.br/admin/_m2brupload/produtos/338/733_med.jpg;Afro-brasileira
"""O menino Nito: então, homem chora ou não?""";;Sonia Rosa ;Victor Tavares;Culturas afro-brasileiras, Choro, infância, afetividade;Nito abria um berreiro por tudo e ninguém aguentava mais tanta choradeira. Um dia seu pai o chamou num canto e veio com aquele discurso: “Você é um rapazinho, já está na hora de parar de chorar à toa. E tem mais: homem que é homem não chora.” Essas palavras martelaram na cabeça do Nito.;;Pallas;4ª;2008;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/252299?guid=1716229942296&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716229942296%26quantidadePaginas%3d1%26codigoRegistro%3d252299%23252299&i=1;pt-BR;;infantil;16;;ROSA, Sonia. O menino Nito: então, homem chora ou não? Rio de Janeiro: Pallas, 2008.;https://acervo.bn.gov.br/sophia_web/capa/capa/252299;Afro-brasileira
"""Caderno de rimas do João""";;Lázaro Ramos;Mauricio Negro;Culuras afro-brasileira, memória afetiva,diversidade;O menino João encantava os leitores com rimas espontâneas e temáticas diversas. Ele nos apresenta, deum jeito divertido, os assuntos de um modo mais colorido.;;Pallas ;1ª;2015;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1422076?guid=1716231244215&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716231244215%26quantidadePaginas%3d1%26codigoRegistro%3d1422076%231422076&i=1;pt-BR;;infantojuvenil;40;;Ramos, Lázaro. Caderno de rimas do João. Rio de Janeiro: Pallas, 2015.;https://pallaseditora.com.br/admin/_m2brupload/produtos/287/593_med.jpg;Afro-brasileira
"""OPS""";;Marilda Castanha;Marilda Castanha;Culturas afro-brasileiras, brincadeiras infantil, bebês;"Essa história é contada com uma única palavra ,""Ops"", acompanhando os movimentosde um bebê em suas brincadeiras e desobertas do mundo.";;Jujuba ;1ª;2021;Físico;;https://www.jujubaeditora.com.br/Ops;pt-BR;;infantil;24;;CASTANHA, Marilda. OPS. São Paulo: Jujuba, 2021.;https://assets.betalabs.net/production/jujuba/item-images/48bd74c12437fa64befe36d471e9f2c7.jpg;Afro-brasileira
"""Abraços pra lá e pra cá""";;Sonia Rosa ;Dircea Damasceno;Abraço, amor, afeto, carinho;A história fala da importância de um gesto simples, mas poderoso: abraçar alguém.Abraços de amor, abraços de recepção, abraços carinhoso, abraços de consolo, abraços de aniversário, sempre fazem muito bem! Toda vez que abraçar alguém ganha um abraço também.;;Nandyala;1ª;2011;Físico;;https://www.amazon.com.br/Abra%C3%A7os-pr%C3%A1-l%C3%A1-c%C3%A1/dp/8561191651/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3L662RAGZ2J3F&dib=eyJ2IjoiMSJ9.THiLOxUbfzHfRkw3ZpKGfLHM-jsc3rOvu9OarRaZ5v-qzeF3ToGk_hW1zH-H-EcPpLUOvGmFfxZDLDTAEUxNaA.rS_GZHo3ExxH4HaXKbT1Z1T-J-f6k6OIvPBsCLhDww8&dib_tag=se&keywords=Abra%C3%A7os+pra+l%C3%A1+e+pra+c%C3%A1&qid=1716231415&sprefix=abra%C3%A7os+pra+l%C3%A1+e+pra+c%C3%A1%2Caps%2C712&sr=8-1;pt-BR;;infantil;não consta;;ROSA, Sônia. Abraços pra lá e pra cá. Belo Horizonte: Nandyala, 2011.;https://m.media-amazon.com/images/I/4189SCz1OQL.jpg;Afro-brasileira
"""Lulu adora a biblioteca""";"""Lulu loves the library""";Anna McQuinn;Rosalind Beardshaw;Biblioteca, afetividade, infância;Lulu adora livros e ama visitar a biblioteca do bairro para descobrir novas histórias.Lá ela descobriu que as bibliotecas são lugares aconchegantes e divertidos,onde ela pode fazer novas amizades!;Tradução Rafaella Lemos;Pallas;1ª;2012;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/320716?guid=1716231471387&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716231471387%26quantidadePaginas%3d1%26codigoRegistro%3d320716%23320716&i=1;pt-BR;;infantil;28;;McQuinn, Anna. Lulu adora bibliotecas, Rio de Janeiro: Pallas, 2012.;https://acervo.bn.gov.br/sophia_web/capa/capa/320716;Afro-brasileira
"""Lulu adora histórias""";;Anna McQuinn;Rosalind Beardshaw;Bibliotecas, histórias infantis, aventuras, infância;Lulu e seu pai gostam de ir juntos a biblioteca aos sábados.Os livros que escolhem pegar emprestados serão as histórias contadas antes de dormir durante toda a semana, e, a cada dia, Lulu se transformará nos principais personagens dessas aventuras.;;Pallas;1ª;2014;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1038882?guid=1716231529344&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716231529344%26quantidadePaginas%3d1%26codigoRegistro%3d1038882%231038882&i=1;pt-BR;;infantil;28;;McQuinn, Anna. Lulu adora histórias. Rio de Janeiro: Pallas, 2014.;https://pallaseditora.com.br/admin/_m2brupload/produtos/267/468_med.jpg;Afro-brasileira
"""Confusões de Dona Ana X confusões de Seu José";;Lidia Izecson;Mariana Ruiz Johnson;Feira, mercado, confusões;Dona Ana não se cansa de arranjar confusão. Na feira achou o tomate muito caro, perguntou se era bicho raro. Com seu pouco dinheiro, pensou em cozinhar um pandeiro. Era feito de batata, a única coisa barata. Seu José também não escapa de toda essa carestia. No mercado é um sufoco, e também na academia. Lá fica tão cansado, faz esforço redobrado pra chegar aonde queria. Levanta, estica e puxa, mas a barriga continua gorducha. E confusos desse jeito, será que se encontrarão, um vindo pela esquerda e o outro na contramão?;;Gaivota;1ª;2015;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1621823?guid=1716231613108&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716231613108%26quantidadePaginas%3d1%26codigoRegistro%3d1621823%231621823&i=1;pt-BR;;infantojuvenil;31;;Izecson, Lidia. Confusões de dona Ana x confusões de seu José, São Paulo: Gaivota, 2015.;https://www.editorabiruta.com.br/cdn/shop/products/confusoes-de-dona-ana_360x.jpg?v=1549656480;Afro-brasileira
"""Janaína já sabe contar""";;Geraldo Valério;Geraldo Valério;Culturas afro-brasileiras, Algarismos, Flores, frutos;Janaína é uma menina muito esperta. Aos poucos ela aprende os números e, com a ajuda de seus amiguinhos, ela aprende a contar até 10. Este livro com a personagem Janaína ensina às crianças, de forma lúdica, os números de 1 a 10. Com a presença de algumas flores, frutos e peixes nativos do Brasil, os algarismos são apresentados a cada página.;;Pallas Mini;1ª;2020;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1781449?guid=1716232031076&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716232031076%26quantidadePaginas%3d1%26codigoRegistro%3d1781449%231781449&i=1;pt-BR;;infantojuvenil;28;;Valerio, Geraldo. Janaína já sabe contar, Rio de Janeiro: Pallas Míni, 2020.;https://pallaseditora.com.br/admin/_m2brupload/produtos/291/619_med.jpg;Afro-brasileira
"""Caderno sem rimas da Maria""";;Lázaro Ramos;Mauricio Negro;Brincadeira, infância;Neste título chamado Caderno sem rimas da Maria, o autor se inspira em sua filha, inventa e ressignifica palavras e, nesta brincadeira, mostra que a liberdade da leitura nos faz viajar para lugares muito distantes.;;Pallas;1ª;2018;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1699012?guid=1716232090927&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716232090927%26quantidadePaginas%3d1%26codigoRegistro%3d1699012%231699012&i=1;pt-BR;;infantil;36;;Ramos, Lázaro. Caderno sem Rimas da Maria.Rio de Janeiro : Pallas, 2018.;https://pallaseditora.com.br/admin/_m2brupload/produtos/302/646_med.jpg;Afro-brasileira
"""Chapeuzinho e o leão faminto""";;Alex T. Smith;Alex T. Smith;Fantasia, savana africana;Certa manhã, tia Rosa acordou com o corpo cheio de pintas! Nesse caso, o que fazer? Ligar para a Chapeuzinho! Ao saber da situação, a menina se despediu do pai e correu para levar para a tia, em sua cesta, tudo o que ela precisava para se curar. Mas, no caminho, encontrou um leão faminto que bolou um plano para devorá-la. Ele chegou primeiro à casa da tia, escondeu-a no armário, disfarçou-se e ficou lá, esperando. Será que seu plano vai dar certo ou será que a Chapeuzinho vai pregar uma peça no leão? Nesse premiado reconto contemporâneo, uma menina cheia de vida mostra o valor do diálogo e da amizade.;Tradução Gilda de Aquino;Brinque-Book;1ª;2019;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1731753?guid=1716232305892&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716232305892%26quantidadePaginas%3d1%26codigoRegistro%3d1731753%231731753&i=1;pt-BR;;infantojuvenil;31;;SMITH, Alex T. Chapeuzinho e o leão faminto. São Paulo: Brinque-Book, 2019. ;https://cdl-static.s3-sa-east-1.amazonaws.com/covers/gg/9788574126227/chapeuzinho-e-o-leao-faminto.jpg;Afro-brasileira
"""Lulu lê para o Zeca""";;Anna McQuinn;Rosalind Beardshaw;Leitura, infância, família, histórias;Os preparativos de Lulu e sua família para a chegada do seu irmãozinho Zeca, e o hábito da leitura ajudando Lulu a se conectar com ele. Sempre que seu irmão chora, Lulu, que ama ler livros, tem a solução: quando ele está chateado, ela lê uma história engraçada pra ele, quando ele precisa tirar uma soneca, ela lê sua melhor história de ninar e canta pra ele, e quando ele chora durante o banho, ela lê para ele sua história preferida sobre patinhos. Felizmente, Zeca dorme bastante, então isso dá tempo a ela para suas próprias leituras.;;Pallas;1ª;2020;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1772561?guid=1716232410745&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716232410745%26quantidadePaginas%3d1%26codigoRegistro%3d1772561%231772561&i=1;pt-BR;;infantojuvenil;28;;MCQUINN, Anna. Lulu lê para o Zeca. Rio de Janeiro: Pallas, 2020.;https://pallaseditora.com.br/admin/_m2brupload/produtos/326/709_med.jpg;Afro-brasileira
