título;título_alternativo;criador;contribuidor;assunto;resumo;descrição;editora;edição;data;tipo;identificador;fonte;idioma;cobertura;nível_de_educação_da_audiência;extensão;direitos;citação_bibliográfica;arquivo;coleção;cleaned_titulo;cover_url
Mãe Sereia;;Teresa Cárdenas;Vanina Starkoff;Mitologia africana, Navio negreiro, Diáspora;Como seria a travessia de um navio saído da costa da África que, em seu interior, juntou pessoas de diferentes idades e famílias para, num mesmo suspiro, enfrentar o medo e a escuridão do mar desconhecido? Nesse percurso, Mãe Sereia os acompanhou e, a sua maneira, os acolheu amenizando assim essa injusta e dolorosa viagem.;;Pallas;1ª;2018;Físico;9788567751160;https://www.pallaseditora.com.br/produto/Mae_Sereia/304/;pt-BR;;infantojuvenil;32;;CÁRDENAS, Teresa. Mãe Sereia. Rio de Janeiro: Pallas, 2018.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/304/653_max.jpg;Africana;_mãe_sereia_;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/304/653_max.jpg
A estória do sol e do rinoceronte ;;Ondjaki;Catalina Vásquez ;Continente africano, Animais africanos;O rinoceronte triste e melancólico encontra seu amigo, o sol, com quem tem uma importante conversa. O sol lhe dá um presente para que ele pense melhor em seus sentimentos. Ele que só tinha um chifre grande, ganha um pequenino. E, assim, aumenta sua autoconfiança e segurança. Ele aprende que tudo na vida tem dois lados e que às vezes estamos tristes e outras felizes.;;Pallas;1ª;2021;Físico;;https://www.pallaseditora.com.br/produto/A_estoria_do_sol_e_do_rinoceronte/332/;pt-BR;;infantojuvenil;28;;ONDJAKI. A estória do sol e do rinoceronte. Rio de Janeiro: Pallas. 2021. ;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/332/724_max.jpg;Africana;a_estória_do_sol_e_do_rinocero;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/332/724_max.jpg
Coisas Desalinhadas;;Ondjaki;Alex Gozblau;Culturas africanas, sentimentos, infância;Coisas desalinhadas, coisas que a gente sente e não explica. Lágrimas de tristeza e lágrimas de alegria. Sentimentos confusos do que pode faltar de repente, da gaiola vazia, do aquário partido. Ver que sonhos falam a verdade como as sombras, nas sombras vemos quem está a chorar e quem pode sorrir. Coisas desalinhadas é o mundo acontecendo pelo olhar da pureza infantil, que registra de forma desalinhada (e até estranha) os sentimentos da vida, acontecendo aqui dentro e lá fora.;;Pallas;1ª;2023;Físico;;https://www.pallaseditora.com.br/produto/Coisas_desalinhadas/362/5/;pt-BR;;Infantojuvenil;48;;ONDJAKI. Coisas desalinhadas. Rio de Janeiro: Pallas, 2023.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/362/787_max.jpg;Africana;_coisas_desalinhadas_;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/362/787_max.jpg
O Amuleto Perdido e Outras Lendas Africanas;;Magdalene Sacraine, Tradução de Luciano Machado e Elisa Zanetti;Sarah Bramley ;Culturas africanas,Contos populares africanos, Sudão, Camarões;Saiba como a sabedoria se espalhou pelo mundo e como a lebre ficou com o lábio partido. Emocione-se com a história de Ntagi, que perdeu seu precioso amuleto no fundo do mar, com o caso do jovem que queria se casar com a filha do Senhor da Chuva e com as proezas da encantadora Ten para conquistar o reino de Samanyana Basi. Esta inédita coletânea apresenta 39 contos populares de diversas tradições africanas, desde as planícies agrestes do Sudão até uma pequena aldeia em Camarões. Histórias que retratam a cultura e a sabedoria desses povos.;;Pand Book;2ª;2021;Físico;9788578880484;https://www.pandabooks.com.br/panda-books/infantil/o-amuleto-perdido-e-outras-lendas-africanas-2a-edicao;pt-BR;;Juvenil;96;;SACRAINE, Magdalene.O Amuleto Perdido e Outras Lendas Africanas. São Paulo: Panda Books, 2010.;https://acervo.bn.gov.br/sophia_web/capa/capa/275820;Africana;_o_amuleto_perdido_e_outras_le;https://acervo.bn.gov.br/sophia_web/capa/capa/275820
Bia na África;;Ricardo Dreguer;Avelino Guedes, Rogério Borges;Culturas africanas, viagens, influências culturais ;Bia é filha de uma diplomata e viaja com a mãe por diferentes partes do mundo. Nessas viagens ela conhece muitas das influências que outros países trouxeram para o Brasil. Neste livro viaje com a Bia para a África. Conheça um pouco do Egito, Quênia, Mali, Congo, Zimbábue e Sudão. Depois, more com a Bia em Angola! Lá você encontrará muitas das raízes do Brasil e dos brasileiros. Boa viagem!;Coleção viagens da Bia;Moderna;1ª;2007;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/180065?guid=1707337510309&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1707337510309%26quantidadePaginas%3d1%26codigoRegistro%3d180065%23180065&i=3;pt-BR;;Infantojuvenil;47;;DREGUER, Ricardo. Bia na África. São Paulo: Moderna, 2007.;https://acervo.bn.gov.br/sophia_web/capa/capa/180065;Africana;_bia_na_áfrica_;https://acervo.bn.gov.br/sophia_web/capa/capa/180065
Orukomi meu nome;;Esmeralda Ribeiro;Edmilson Q. Reis;Culturas africanas, Iorubá, Rituais;Em Orukomi, um menino com nome afro recebe de um contador de histórias informações sobre um país no continente africano. Esse mesmo fio mágico de contar histórias o convida a conhecer a história de seus antepassados e, sobretudo, a conhecer sobre a riqueza cultural africana;;Quilombhoje;1ª;2007;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/243128?guid=1707344579732&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1707344579732%26quantidadePaginas%3d1%26codigoRegistro%3d243128%23243128&i=1;pt-BR;;Infantojuvenil;24;;"RIBEIRO,Esmeralda. Orukomi meu Nome. São Paulo: Quilombhoje, 2007.

";;Africana;_orukomi_meu_nome_;
A Ginga da Rainha;;Iris Maria da Costa Amâncio ;;Mitologias africanas, Angola, Rainha Njinga;Os pequenos leitores vão tomar conhecimento da Rainha Njinga Mbande, verdadeiro mito da história africana, que nasceu em Angola em 1582. Sua inteligência, habilidade política e liderança se destacaram contra o colonialismo português. A ginga da Rainha traz essa história para os nossos dias, recontando-a por meio das conversas entre uma menina de 11 anos e a empregada de sua casa.;O livro traz gravuras do Museu Histórico de Angola. Acompanha o livro, o CD-ROM.;Mazza;1ª;2005;Físico;8571603340;Terminal - SophiA Biblioteca Web (bn.gov.br);pt-BR;;Infantojuvenil;32;;AMANCIO, Iris Maria. A ginga da rainha.Belo Horizonte: Mazza, 2005.;https://acervo.bn.gov.br/sophia_web/capa/capa/146917;Africana;_a_ginga_da_rainha_;https://acervo.bn.gov.br/sophia_web/capa/capa/146917
Nina África: contos de uma África menina para ninar gente de todas as idades;;Lenice Gomes, Arlene Holanda, Clayson Gomes;Maurício Veneza;Culturas africanas, lendas africanas, seres inanimados, mistério;Quando o Céu e a Terra estavam próximos um do outro, quando a África era uma imensa floresta onde homens e animais viviam em harmonia, nasceu a brisa, caiu a primeira chuva e surgiram as primeiras histórias recheadas de seres inanimados. A sabedoria e o afeto faziam parte da vida de todos. Nina África traz de muito longe lendas mágicas de encantamento e mistérios;;Elementar ;1ª;2009;Físico;;Terminal - SophiA Biblioteca Web (bn.gov.br);pt-BR;;Infantojuvenil;48;;GOMES,Lenice. Nina África. São Paulo: Elementar, 2009.;https://acervo.bn.gov.br/sophia_web/capa/capa/254463;Africana;_nina_áfrica__contos_de_uma_áf;https://acervo.bn.gov.br/sophia_web/capa/capa/254463
África Eterna;;Rui de Oliveira;Rui de Oliveira;Culturas africanas, Geografia, fauna e flora;África eterna apresenta um panorama do continente africano: as regiões, as florestas e a fauna, os aspectos humanos, econômicos e culturais, o idioma português na África e o legado da África no Brasil. A obra é uma contribuição para o efetivo cumprimento da Lei 10.639, de 9/1/2003, que torna obrigatório o ensino da história e da cultura afro-brasileira, e do Estatuto da Igualdade Racial (Lei 12.288, de 20/7/2010), que torna obrigatório o ensino da história geral da África, ambos a partir do Ensino Fundamental.;;FTD;1ª;2010;Físico;9788532275653;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/277792?guid=1706741425022&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1706741425022%26quantidadePaginas%3d1%26codigoRegistro%3d277792%23277792&i=4;pt-BR;;Infantojuvenil;54;;OLIVEIRA, Rui. África eterna.São Paulo : FTD, 2010.;https://acervo.bn.gov.br/sophia_web/capa/capa/277792;Africana;_áfrica_eterna_;https://acervo.bn.gov.br/sophia_web/capa/capa/277792
Madiba - O Menino Africano;;Rogério Andrade Barbosa;Renato Alarção;Nelson Mandela, Biografia, infância;Admirado por inúmeras gerações em países por todo o mundo, Nelson Mandela é aqui apresentado pelos caminhos da infância, com a delicadeza e a força que só um grande líder traz;;Cortez;1ª;2016;Físico;9788524918216;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/291153?guid=1703373168079&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1703373168079%26quantidadePaginas%3d3%26codigoRegistro%3d291153%23291153&i=57;pt-BR;;Infantojuvenil;28;;BARBOSA, Rogério Andrade. Madiba- O menino africano. São Paulo: Cortez, 2011.;https://acervo.bn.gov.br/sophia_web/capa/capa/291153;Africana;_madiba_-_o_menino_africano_;https://acervo.bn.gov.br/sophia_web/capa/capa/291153
 Os irmãos Zulu;;Rogério Andrade Barbosa ;Ciça Fittipaldi ;Culturas africanas, Povo Zulu, Histórias de encantamento ;Malandela seguia seus irmãos com sua bolsa feita da orelha de elefante. Foi quando os três encontraram um reino muito estranho. Algum feitiço havia transformado todos os habitantes em pedras. O único sobrevivente do ocorrido lhes contou que toda a vida poderia voltar caso realizassem três tarefas. Mas que tarefas? Rogério Andrade Barbosa conheceu essa narrativa encantadora entre os Zulus, uma população que vive ao sul do continente africano, tão perita na arte de bordar adornos quanto histórias. Seguindo a trilha do autor você vai encontra uma formiga de vida valiosa, uma grande nuvem de patos e três lindas princesas gêmeas. Descobrirá, assim, as sabedorias que existem no universo africano e o quanto ele pode inspirar ilustrações delicadas como as de Ciça;;Larousse Junior;1ª;2006;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/184840?guid=1703373168079&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1703373168079%26quantidadePaginas%3d2%26codigoRegistro%3d184840%23184840&i=46;pt-BR;;Infantojuvenil;32;;BARBOSA, Rogério Andrade. Os irmãos Zulu. São Paulo : Larousse Junior, 2006.;https://acervo.bn.gov.br/sophia_web/capa/capa/184840;Africana;_os_irmãos_zulu_;https://acervo.bn.gov.br/sophia_web/capa/capa/184840
 Não chore ainda não ;;Rogério Andrade Barbosa ;Ciça Fittipaldi ;Culturas africanas, Guiné-Bissau, Ilha de Babaque, Saltão (peixe);Não chore ainda não, do escritor e especialista em literatura africana, Rogério Barbosa. O livro, indicado para crianças, reconta uma das muitas lendas da cultura da África e traz para os pequenos leitores palavras do vocabulário da região.  Não chore ainda não se passa na ilha de Bubaque, na Guiné-Bissau, onde o saltão, uma espécie de peixe, é a preferida dos habitantes do local. Certo dia, as mulheres da ilha saem com seus balaios na cabeça em busca de alimento. Desesperada, a fêmea de um saltão, que conseguiu escapar das mulheres, começa a chorar por seu marido que foi pego para servir de refeição na aldeia. Em pouco tempo, todos os animais já sabiam do triste fim deste peixinho e da enorme tristeza de sua esposa. Mas, será que chorar tanto acalmou a fêmea? Qual terá sido realmente o desfecho dessa história?;Série Além das lendas;Larousse Júnior;1ª;2007;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/198414?guid=1703373168079&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1703373168079%26quantidadePaginas;pt-BR;;Infantojuvenil;24;;BARBOSA, Rogério Andrade. Não chore ainda não. São Paulo: Larousse Júnior, 2007.;https://acervo.bn.gov.br/sophia_web/capa/capa/198414;Africana;__não_chore_ainda_não_;https://acervo.bn.gov.br/sophia_web/capa/capa/198414
Nyangra Chena: A cobra curandeira;;Rogério Andrade Barbosa ;Salmo Dansa ;Culturas africanas, Zimbábue, Lendas africanas, Povo Xona;Tangwena, o sábio e bondoso chefe do povo xona, do Zimbábue, adoece gravemente, e sua única possibilidade de cura é a cobra Nyangara, que tem uma saliva mágica e é dotada de poderes sobrenaturais. Para salvar sua vida, ele pede aos homens da aldeia que vão atrás da serpente. Só que os homens se assustam ao encontrar o enorme réptil e fogem correndo. Não havendo nada mais a fazer, o chefe pede que o deixem morrer em paz. As crianças, porém, não se conformam com a morte iminente de Tangwena e, bravamente, resolvem ir atrás de Nyangara e conseguem salvar a vida do ancião.;Série Crísalida;Scipione;1ª;2006;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/146505?guid=1703373168079&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1703373168079%26quantidadePaginas%3d4%26codigoRegistro%3d146505%23146505&i=78;pt-BR;;Infantojuvenil;24;;"BARBOSA, Rogério Andrade. Nyangra Chena: A cobra curandeira. São Paulo: Scipione, 2006.

";https://acervo.bn.gov.br/sophia_web/capa/capa/146505;Africana;_nyangra_chena__a_cobra_curand;https://acervo.bn.gov.br/sophia_web/capa/capa/146505
Nzuá e a cabeça;;Toni Brandão;Eduardo Engel;Continente africano, Angola, contos africanos e afro-brasileiros;Nzuá era um jovem diferente dos outros da sua tribo. Desengonçado e meio atrapalhado, ele gostava de puxar conversa, mas não lhe davam atenção nem o ouviam. Num dia ele saiu andando pelo mato e encontrou uma caveira. Uma caveira que falava! Esta história de suspense da coleção Afro-Brasileira é uma das mais famosas da região de Angola, de onde vieram para o Brasil, trazidos como escravos, os povos que falavam o banto.;Coleção Afro-Brasileira;Melhoramentos;1ª;2010;Físico;9788506057865;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/267787?guid=1703554379283&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1703554379283%26quantidadePaginas%3d1%26codigoRegistro%3d267787%23267787&i=1;pt-BR;;Infantojuvenil;não consta;;BRANDÃO, Toni. Nzuá e a cabeça. São Paulo: Melhoramentos, 2010.;https://acervo.bn.gov.br/sophia_web/capa/capa/267787;Africana;_nzuá_e_a_cabeça_;https://acervo.bn.gov.br/sophia_web/capa/capa/267787
 A cabra mágica;;Meshack Asare;Meshack Asare,Tradução de Cláudia Ribeiro Mesquita;Tradição oral, África, fábulas de animais;Neste livro, Meshack Asare reconta uma história a partir da tradição oral da África Ocidental. Para a Cabra e a Ovelha, não há o que temer viajando no reino dos animais, onde todos são hospitaleiros e solidários, como elas. Ao conhecerem a Onça, no entanto, logo descobrirão que também há más intenções e falsidade no mundo em que vivem. Se essa é uma história sobre a perda da inocência, é também um estímulo para refletir sobre a amizade e a solidariedade universal.;Série: Barco a vapor;SM;1ª;2007;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/181159?guid=1703775161871&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1703775161871%26quantidadePaginas%3d1%26codigoRegistro%3d181159%23181159&i=1;pt-BR;;Infantojuvenil;47;;ASARE,Meshack. A Cabra Mágica. São Paulo: Edições SM, 2007.;https://acervo.bn.gov.br/sophia_web/capa/capa/181159;Africana;__a_cabra_mágica_;https://acervo.bn.gov.br/sophia_web/capa/capa/181159
 A África, meu pequeno Chaka;;Marie Sellier;Marion Lesage , tradução de Rosa Freire D'Aguiar; Árvore baobá, contos africanos, Contadores de histórias;Vovô Dembo é um africano muito alto e muito sábio. Para o pequeno Chaka, ele tem o tamanho do baobá - árvore que alcança vinte metros de altura - e a sabedoria dos marabus - sacerdotes venerados pela religião muçulmana. É vovô Dembo quem conta ao neto Chaka a história da África, da sua África: a infância numa família de catorze irmãos, o pastoreio das cabras, as pescarias no rio barrento, as festas, as comidas, as plantações de amendoim e batata-doce. Com pinceladas sensíveis, um verbo saboroso e poético, vovô Dembo fala dos espíritos que se escondem na selva entre os macacos e os elefantes, narra a chegada da chuva, quando os pingos enormes batem na terra esturricada e a tempestade é um bálsamo que revigora a vida. Chaka logo percebe que vovô Dembo, com sua imaginação entre o plausível e o mágico, faz um retrato em que se sobrepõem duas histórias, a dele mesmo e a do continente mais antigo do planeta. A África, meu pequeno Chaka.... reata com a tradição africana do contador de histórias, figuras centrais de um mundo em que a memória pessoal é fundida com a coletiva, e transmitida de boca em boca.;;Companhia das Letrinhas;1ª;2006;Físico;857406324X;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/188467?guid=1703776052284&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1703776052284%26quantidadePaginas%3d1%26codigoRegistro%3d188467%23188467&i=1;pt-BR;;Infantojuvenil;41;;SELLIER,Marie. A África, meu pequeno chaka. São Paulo: Companhia das Letrinhas, 2006.;https://acervo.bn.gov.br/sophia_web/capa/capa/188467;Africana;__a_áfrica__meu_pequeno_chaka_;https://acervo.bn.gov.br/sophia_web/capa/capa/188467
O príncipe medroso e outros contos africanos;;Anna Soler-Pont;Pilar Millán, Tradução de  Luis Reyes Gil;Continente africano, Contos e lendas  africanas, Griots;"Na África, desde sempre os contos e as lendas passaram de geração a geração, ao longo dos séculos, sem serem escritos. Os griots (espécie de músico e poeta da África Ocidental, que conserva e transmite a memória oral) os contavam, os pais e os avós decoravam-nos e continuavam a transmiti-los aos mais jovens. Ainda hoje, como diz Anna Soler-Pont na apresentação do livro, ""contar contos nas praças dos povoados, nos pátios das casas ou embaixo de uma árvore numa escola rural ainda é uma atividade comum em muitos rincões do continente africano. E os contos continuam muito vivos e mutantes. A mesma história pode ter muitas versões, dependendo de onde é contada e de quem a conta!"". Esta coletânea reúne algumas histórias contadas em vários países, da África subsaariana até o sul do continente. Entre elas há desde as mais conhecidas - como fábulas de animais e mitos de origem - até as mais desconhecidas - como as de princesas e príncipes, entre estes o conto que dá título ao livro. O príncipe medroso e outros contos africanos traz ainda um mapa da África e um glossário com o significado dos termos africanos que aparecem destacados no texto.";;Seguinte;1ª;2009;Físico;9788535915402;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/257804?guid=1703945211828&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1703945211828%26quantidadePaginas%3d1%26codigoRegistro%3d257804%23257804&i=4;pt-BR;;Infantojuvenil;133;;SOLER-PONT, Anna. O príncipe medroso e outros contos africanos. São Paulo: Seguinte, 2009.;https://acervo.bn.gov.br/sophia_web/capa/capa/257804;Africana;_o_príncipe_medroso_e_outros_c;https://acervo.bn.gov.br/sophia_web/capa/capa/257804
Nyama : tesouros sagrados dos povos africanos;;Christiane Lavaquerie-Klein, Laurence Paix-Rusterholtz ;Tradução de: Hildegard Feist ;Continente africano, Povo Dogom, Mitos africanos, Objetos rituais;"Para o povo dogom, do Mali, nyama é a força vital que anima os objetos, sustenta os homens e encarna o espírito dos ancestrais no cotidiano. No imenso continente africano, povos tão diversos quanto as terras em que vivem carregam culturas repletas de mitos e objetos rituais. São máscaras, tecidos, relicários, harpas, tambores, que falam sobre uma relação de temor e respeito entre o mundo dos vivos e o dos mortos. Das portas do deserto às margens do oceano Índico, o leitor vai viajar pela África, conhecer seus povos e objetos - tesouros de madeira, de contas, de ouro e de marfim, todos repletos de nyama. A imagem do objeto ocupa a página inteira e é acompanhada de uma ficha que informa as matérias-primas usadas em sua confecção, seu tamanho e o museu de onde procede. Além disso, um texto principal conta um pouco da história do povo que produziu o artefato, e uma pequena seção, chamada ""Outro modo de ver"", o analisa mais detalhadamente.";;Companhia das letrinhas;;2010;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/260953?guid=1705102603437&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1705102603437%26quantidadePaginas%3d1%26codigoRegistro%3d260953%23260953&i=2;pt-BR;;Infantojuvenil;50;;LAVAQUERIE-KLEIN, Christiane, PAIX-RUSTERHOLTZ.Nyama: tesouros sagrados dos povos africanos. São Paulo: Companhia das Letrinhas, 2010.;https://acervo.bn.gov.br/sophia_web/capa/capa/260953;Africana;_nyama___tesouros_sagrados_dos;https://acervo.bn.gov.br/sophia_web/capa/capa/260953
Os caçadores de mel: contos tradicionais africanos;;Francesca Martin ;Francesca Martins, tradução de Ana Maria Machado;Contos tradicionais africanos, fábulas, Amizade e conflitos;Conto tradicional africano, que fala de um tempo em que os animais selvagens eram muito amigos. E todos gostavam muito de mel. Um dia seguiram o passarinho guia-mel que conhecia os melhores lugares onde se encontrava aquela doçura e, por causa dela, começaram a se desentender.;;Salamandra;2ª;2007;Físico;9788516055721;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/224426?guid=1705103193378&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1705103193378%26quantidadePaginas%3d1%26codigoRegistro%3d224426%23224426&i=13;pt-BR;;Infantojuvenil;27;;MARTIN, Francesca. Os caçadores de mel: contos tradicionais africanos. São Paulo: Salamandra, 2007.;https://acervo.bn.gov.br/sophia_web/capa/capa/224426;Africana;_os caçadores de mel__contos_t;https://acervo.bn.gov.br/sophia_web/capa/capa/224426
Bino, o menino africano da cor do algodão;;Marcial Ávila e Rosa Margarida de Carvalho Rocha;Marcial Ávila;Culturas africanas, Zimbabue, Contadores de histórias, Contos africanos, Continente africano;Gerações após gerações, contam histórias de reis, rainhas e reinos esquecidos no velho Continente Africano.. Esta história que você vai conhecer aconteceu no coração da África, numa planície muito escondida onde as gazelas saltavam alegres, as girafas desfilavam elegantes sua beleza entre as densas florestas do Zimbabue, num tempo que se perdeu na memória;;Mazza;1ª;2015;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1623169?guid=1708285828661&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1708285828661%26quantidadePaginas%3d1%26codigoRegistro%3d1623169%231623169&i=1;pt-BR;;Infantojuvenil;35;;ÁVILA,Marcial, ROCHA, Rosa Margarida de Carvalho. Bino, o menino africano da cor do algodão. Belo Horizonte: Mazza, 2015.;;Africana;_bino__o menino africano da co;
Mussa: um conto popular africano;;Maria Clara Cavalcanti ;Allan Rabelo;Fábulas africanas, Amizade, Mitos;A bicharada lá na África está morrendo de fome e sede. E logo quando encontra a ajuda preciosa do deus Nyame para mudar essa situação de penúria total, novo problema surge. E surge em forma de uma feiticeira terrível! Os animais já estavam perdendo as esperanças de conseguir se safar da feiticeira quando o bicho em que eles menos acreditavam ? debochavam até ? resolveu a questão. E, daquele momento em diante, eles enfiaram a viola no saco e passaram a tratar a pão de ló o bicho salvador.;;Zit;1ª;2016;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1636214?guid=1708288398254&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1708288398254%26quantidadePaginas%3d1%26codigoRegistro%3d1636214%231636214&i=1;pt-BR;;Infantojuvenil;36;;CALVACANTI,Maria Clara. Mussa: um conto popular africano. Rio de Janeiro : Zit, 2015.;https://images.tcdn.com.br/img/img_prod/625393/mussa_um_conto_popular_africano_4011_1_0d2f93e70dc16deaad2afcdc3f41ed4e.jpg;Africana;_mussa__um_conto_popular_afric;https://images.tcdn.com.br/img/img_prod/625393/mussa_um_conto_popular_africano_4011_1_0d2f93e70dc16deaad2afcdc3f41ed4e.jpg
 O diário de Kaxi- um curumim descobre o Brasil ;;Daniel Munduruku;Crianças munduruku da aldeia Katõ;Culturas indígenas, infância, aventuras;Kaxi viaja da da floresta até a cidade pela primeira vez e um mundo novo de descobertas se abre para o menino indígena.;;Salesiana;1ª;2001;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/216820?guid=1725650455655&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1725650455655%26quantidadePaginas%3d1;pt-BR;;Infantojuvenil;48;;MUNDURUKU, Daniel. O diário de Kax : um curumin descobre o Brasil. São Paulo: Salesiana, 2001.;https://acervo.bn.gov.br/sophia_web/capa/capa/216820;Indígena;__o_diário_de_kaxi-_um_curumim;https://acervo.bn.gov.br/sophia_web/capa/capa/216820
No país do Jabuti: contos e mitos indígenas do Brasil;;Beatrice Tanaka;;Culturas indígenas, mitologia, fábulas;Este livro traz histórias da tradição oral indígena brasileira, seus mitos, suas lendas e fábulas, que perpetuam o conhecimento sobre as origens e características do ser humano.;;Nacional;1ª;2006;Físico;;Terminal - Sophia Biblioteca Web (bn.gov.br);pt-BR;;Infantojuvenil;40;;TANAKA, Beatrice. No país do Jabuti: contos e mitos indígenas do Brasil. São Paulo : Ed. Nacional, 2006.;https://acervo.bn.gov.br/sophia_web/capa/capa/221319;Indígena;_no_país_do_jabuti__contos_e_m;https://acervo.bn.gov.br/sophia_web/capa/capa/221319
O presente de Ossanha;;Joel Rufino dos Santos;Maurício Veneza;Culturas afro-brasileiras, Escravidão, Orixás;" ""Uma história que se passou há mais de cem anos, em um engenho de açúcar, sobre um negrinho escravo. Tinham esquecido o seu nome. Só o chamavam de moleque. Moleque pra cá, moleque pra lá – e tudo o que lhe aconteceu depois de receber um presente do orixá das florestas, Ossanha – filho do criador Olorum, e irmão de Xangô e de Iansã. Partindo da escravidão, Joel Rufino dos Santos fala-nos da liberdade""";;Global;2ª;2006;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/197078?guid=1716211461111&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716211461111%26quantidadePaginas%3d1%26codigoRegistro%3d197078%23197078&i=1;pt-BR;;infantojuvenil;14;;SANTOS, Joel Rufino dos. O presente de Ossanha. São Paulo: Global, 2006.;https://acervo.bn.gov.br/sophia_web/capa/capa/197078;Afro-brasileira;_o_presente_de_ossanha_;https://acervo.bn.gov.br/sophia_web/capa/capa/197078
Bruna e a  Galinha D’angola;;Gercilga de Almeida;Valéria Saraiva;Culturas afro-brasileiras, mitos iorubanos, ancestralidade;Fala da história de Bruna, uma menina que se sentia muito sozinha. Até que sua avó Nanã contou a história de um panõ da galinha que havia trazido da África, que falava da criação do mundo. Um dia Bruna ganhou uma galinha de presente, toda pretinha e cheia de bolinhas brancas.;;Pallas ;1ª;2000;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/261497?guid=1716211538199&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716211538199%26quantidadePaginas%3d1%26codigoRegistro%3d261497%23261497&i=1;pt-BR;;infantil;24;;ALMEIDA, de Gercilga. Bruna e a Galinha D'Angola. Rio de Janeiro: Pallas, 2000.;https://acervo.bn.gov.br/sophia_web/capa/capa/261497;Afro-brasileira;_bruna_e_a__galinha_d’angola_;https://acervo.bn.gov.br/sophia_web/capa/capa/261497
“Os príncipes do destino: histórias da mitologia afro-brasileira”;;Reginaldo Prandi;Paulo Monteiro;Culturas afro-brasileiras, orixás, odus, mitologia iorubá;Os príncipes do destino são mitos iorubás, fala das histórias de dezesseis príncipes negros que trabalhavam juntos numa missão da mais alta importância para seu povo: colecionar e contar histórias.;;Cosac Naify;1ª;2001;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/43974?guid=1716211590319&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1716211590319%26quantidadePaginas%3d1%26codigoRegistro%3d43974%2343974&i=2;pt-BR;;infantojuvenil;112;;PRANDI, Reginaldo. Os príncipes do destino: histórias da mitologia afro-brasileira. São Paulo:  Cosac Naify, 2001.;https://acervo.bn.gov.br/sophia_web/capa/capa/43974;Afro-brasileira;“os_príncipes_do_destino__hist;https://acervo.bn.gov.br/sophia_web/capa/capa/43974
