título;título_alternativo;criador;contribuidor;assunto;resumo;descrição;editora;edição;data;tipo;identificador;fonte;idioma;cobertura;nível_de_educação_da_audiência;extensão;direitos;citação_bibliográfica;arquivo;collection
"""O filho do vento""";;Rogério Andrade Barbosa;Graça Lima; Povo Bosquímanos;O nome do filho do vento é um segredo que deve ser guardado e respeitado. Mas nakati resolve desafiá-lo e enfrenta um enorme vendaval. Este reconto fala dos bosquímanos, povo africano que convive com as forças da natureza. ;;DCL ;1ª;2013;Físico;8573384611;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/260872?guid=1712438264564&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1712438264564%26quantidadePaginas%3d1%26codigoRegistro%3d260872%23260872&i=1;pt-BR;;infantojuvenil;40;;BARBOSA, Rogério Andrade. O filho do vento.São Paulo: Difusão Cultural do Livro, 2001 ;https://m.media-amazon.com/images/I/71XBWe3qEzL._SL1500_.jpg;africana
"""Naninquiá - a moça bonita""";;Rogério Andrade Barbosa;Ciça Fittipaldi;Guiné Bissau,Conto de literatura oral ;Uma história guineense de coragem e perseverança em busca do amor de Naninquiá, a moça bonita, que havia sido prometida pelo pai àquele que vencesse os desafios lançados por ele. ;;DCL ;1ª;2013;Físico;;https://www.martinsfontespaulista.com.br/naninquia---a-moca-bonita-711171/p;pt-BR;;infantojuvenil;40;;BARBOSA, Rogério Andrade. Naninquiá - a moça bonita. São Paulo: Difusão Cultural do Livro, 2013.;https://m.media-amazon.com/images/I/51gpOhm4EGL._SY445_SX342_.jpg;africana
"""Quibungo""";;Marion Villas Boas;Marcelo Pimentel;Histórias de arrepiar, Mito de origem africana ;Uma história de arrepiar adaptada de um mito de origem africana. Quibungo também é conhecido como chibungo. Em forma de versos de cordel, ele é uma espécie de monstro, meio homem, meio animal. Tem uma cabeça incomum e um grande buraco nas costas que se abre e fecha conforme ele abaixa e levanta a cabeça. Come pessoas, especialmente crianças e mulheres, abrindo o buraco e atirando-as dentro dele.;;Rovelle;1ª;2010;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/332866?guid=1712438738804&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1712438738804%26quantidadePaginas%3d1%26codigoRegistro%3d332866%23332866&i=1;pt-BR;;infantojuvenil;16;;BOAS, Marion Villas. Quibungo. Rio de Janeiro: Rovelle, 2010.;https://m.media-amazon.com/images/I/81fyFRQ3cjL._SY425_.jpg;africana
""" A jornada do pequeno senhor tartaruga""";;Inge Bergh, Inge Misschaert ;Kristina Ruell, Zwiesele do Amaral (tradutor);Culturas africanas, África Moderna, Infância, Contos;Pequeno Yomi adoece gravemente e precisa ser examinado por um médico do hospital da cidade distante. Com o filho nos braços, a mãe de Yomi inicia a longa viagem em vários meios de transporte, e o trajeto parece não ter fim. Para distrair e encorajar o filho, a mãe conta a história do pequeno senhor tartaruga, que realiza uma perigosa jornada em busca da realização de um sonho.;;Pulo do gato;1ª;2014;Físico;;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1043830?guid=1712438860173&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1712438860173%26quantidadePaginas%3d1%26codigoRegistro%3d1043830%231043830&i=1;pt-BR;;infantojuvenil;32;;"BERGH, Inge, MISSCHAERT, Inge. A jornada do pequeno senhor tartaruga.São Paulo : Pulo do Gato, 2014.

";https://m.media-amazon.com/images/I/51+gpnWvZhS._SX342_SY445_.jpg;africana
"""Esperando a chuva""";;Véronique Vernette;Véronique Vernette, Renato Pedrosa (tradutor);Culturas africanas, Geografia,Burquina Faso,África urbana;Não chove há muitos meses. A casa, o quintal e as ruas estão secos e empoeirados. A menina decide então esperar a chuva. Da porta de casa, acompanha o movimento da rua: o caminhão traz a lenha, o barril leva a água para os moradores, o costureiro conserta as roupas das famílias. É hora de ajudar a mãe em casa, tomar banho e jantar. De repente, o céu começa a escurecer e o forte vento anuncia que a chuva finalmente se aproxima.;"Selo Altamente Recomendável FNLIJ - 2015
Seleção Destaques 2014, Revista Emília";Pulo do gato;1ª;2014;Físico;9788564974777;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1636581?guid=1712438937744&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1712438937744%26quantidadePaginas%3d1%26codigoRegistro%3d1636581%231636581&i=4;pt-BR;;infantojuvenil;36;;VERNETTE, Véronique. Esperando a chuva.  São Paulo: Pulo do Gato, 2014.;https://m.media-amazon.com/images/I/51U5+HzdiKL._SX342_SY445_.jpg;africana
""" O homem da árvore na cabeça""";;Celso Sisto;Angelo Abu;Contos africanos, Savana africana;Molefi percebe que uma árvore inesperadamente brotou em sua cabeça, crescendo cada vez mais. O que será que ele fez para merecer isso? Sem fazer ideia do motivo, ele atravessará as savanas de sua terra em busca da ajuda de uma misteriosa mulher;;Nova Fronteira;1ª;2014;Físico;9788520938898;https://acervo.bn.gov.br/sophia_web/acervo/detalhe/1624029?guid=1712439020365&returnUrl=%2fsophia_web%2fresultado%2flistar%3fguid%3d1712439020365%26quantidadePaginas%3d1%26codigoRegistro%3d1624029%231624029&i=1;pt-BR;;infantojuvenil;32;;SISTO, Celso. O homem da árvore na cabeça. Rio de Janeiro: Nova Fronteira, 2014.;https://m.media-amazon.com/images/I/81xdgASOlAL._SL1500_.jpg;africana
"""A força da Palmeira""";;Anabella López;Anabella Lopez; Conto popular africano, Tradição Oral;Conto popular africano de Magreb, região norte da África, que fala da saga de uma palmeira que lutou contra o seu destino e venceu. Magreb significa lugar onde se põe o sol, o poente, a parte mais ocidental do mundo árabe. Ele é formado pelos países Marrocos, Tunísia, Argélia, Mauritânia, Saara Ocidental e Líbia;;Pallas;1ª;2014;Físico;9788567751023;https://www.pallaseditora.com.br/produto/A_forca_da_palmeira/270/;pt-BR;;infantojuvenil;44;;LÓPES, Anabella. A força da Palmeira.Rio de Janeiro: Pallas, 2014.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/270/471_max.jpg;africana
"""Ombela a origem das Chuvas""";;Ondjaki;Rachel Caiano;Mitologia africana, Deuses africanos, Cultura angolana;Fala do mito de Ombela, uma deusa que, ao chorar de tristeza, fez nascer a chuva. Mas para que ela não fizesse mal aos que vivem na terra, Ombela resolveu chorar apenas nos mares. Mas o pai de Ombela ensina que chorar pode ser bom e tem hora para sorrir e hora para chorar. Ombela aprende que há tempo para tudo e, com a ajuda de seu pai, suas lágrimas doces e salgadas encontram outros lugares para ir todos os dias.;Prêmio Caxinde do Conto Infantil -2011;Pallas;1ª;2014;Físico;9788567751016;https://www.pallaseditora.com.br/produto/Ombela/269/;pt-BR;;infantojuvenil;36;;ONDJAKI. Ombela a origem das chuvas. Rio de Janeiro: Pallas,2014.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/269/689_max.jpg;africana
"""Soyas de sun tataluga: Histórias que me contaram em São Tomé e Príncipe""";;Rogério  Andrade Barbosa;Taísa Borges;São Tomé e Príncipe,Fábulas africanas, Culturas africanas;Ao longo das narrativas, conhecemos um pouco da fauna e dos costumes de São Tomé e Príncipe. E em O adivinhador de sonhos, Sun Tataluga, que se gabava de adivinhar todo tipo de sonho, um dia é desafiado por um homem que lhe oferece uma grande recompensa se acertar o que ele sonhou;;FTD;1ª;2015;Físico;;SOYAS DE SUN TATALUGA: HISTORIAS QUE ME CONTARAM EM SAO TOME E PRINCIPE - 1ªED.(2015) - Rogerio Andrade Barbosa - Livro (travessa.com.br);pt-BR;;infantojuvenil;40;;BARBOSA, Rogério Andrade. Soyas de sun tataluga: Histórias que me contaram em São Tomé e Príncipe. São Paulo : FTD, 2015.;https://img.travessa.com.br/livro/GR/05/059d5c39-7c75-405f-94aa-f58f62350f4b.jpg;africana
"""Aminata a tagarela""";;Maté ;Maté;Tradição africana, Cultura Bamana, Rio Niger;Aminata é a filha caçula do tecelão Amadu, e quer saber por que não pode aprender a tecer. A resposta está nas lendas e nos provérbios do seu povo. Graças à avó Nakuntê, ela encontra um novo talento e compreende que, no mundo Bamana, os homens tecem palavras e as mulheres pintam segredos. O livro que aborda a cultura de Mali, país africano, reforçando suas crenças e costumes africanos.;;Escarlate;1ª;2015;Físico;9788583820161;https://www.companhiadasletras.com.br/livro/9788583820161/aminata-a-tagarela;pt-BR;;infantojuvenil;48;;MATÉ. Aminata a tagarela. São Paulo : Escarlate, 2015.;https://cdl-static.s3-sa-east-1.amazonaws.com/covers/gg/9788583820161/aminata-a-tagarela.jpg;africana
""" Batu o filho do rei""";;Celso Sisto;Simone Matias;Etiópia, Conto popular ;Baseado em um conto popular da Etiópia, Batu, o filho do rei narra uma história de amizade, coragem e confiança.;;DCL ;;2015;Físico;;Terminal - Sophia Biblioteca Web (bn.gov.br);pt-BR;;infantojuvenil;48;;SISTO, Celso. Batu o filho do rei. São Paulo: Difusão Cultural do Livro, 2015.;https://m.media-amazon.com/images/I/71xeo2Z4JsL._SL1000_.jpg;africana
"""Os vivos,  os mortos e o peixe- frito""";;Ondjaki;Vânia Medeiros;Países lusófonos, Diversidade cultural,Temas cotidianos;É uma peça com treze personagens de origem lusófona: Angola, Moçambique, Guiné Bissau, São Tomé e Príncipe e Cabo Verde, todos dentro de um mesmo prédio em Portugal. Fala de temas cotidianos e de como a vida entrelaça as pessoas, agindo como uma grande teia de relacionamentos, que nos faz constatar a cada dia que passa o quanto esse mundo é pequeno. Os conflitos, as variedades culturais e as especificidades linguísticas deste verdadeiro mosaico de urgências, problemas em comum e afetos que se formam na condição de imigrantes em terras portuguesas.;;Pallas;1ª;2014;Físico;9788534705233;https://www.pallaseditora.com.br/produto/Os_vivos__o_morto_e_o_peixe-frito/280/;pt-BR;;juvenil;136;;ONDJAKI. Os vivos, os mortos e o peixe-frito. SãoPaulo: Pallas, 2014.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/280/540_max.jpg;africana
""" O coração do Baobá""";;Heloísa Pires Lima;Laerte Silvino;Baobá, Segredos, Descoberta;E bem lentamente a casca do tronco do Baobá começou a se abrir. E o lebrão descobriu o que havia lá no fundo da árvore. O que a levou a mostrar seus segredos? E por que até hoje a hiena, por tentar a mesma coisa, ri sem graça de sua desgraça? Essa história guiará até o coração do Baobá que existe lá pelos lados do noroeste africano;;Amarilys;1ª;2014;Físico;;Terminal - Sophia Biblioteca Web (bn.gov.br);pt-BR;;infantojuvenil;24;;LIMA, Heloisa Pires. O coração do Baobá. Barueri SP: Amarilys, 2014.;https://m.media-amazon.com/images/I/51qkhm3SQIL._SY445_SX342_.jpg;africana
"""Lendas de Exu""";;Adilson Martins;Adilson Martins;Mitologias iorubá, Orixás,Exu;São lendas de Exu, esse deus africano com tantas qualidades conflitantes. Exu ora pode ser malicioso, ora simpático, ora moleque, ora justiceiro, tudo depende da forma como o tratamos e do respeito que a ele devotamos. Ao final, chegaremos a conclusão de que Exu pode ser muitos e múltiplo e, finalmente, é sábio e sedutor.;;Pallas;2ª;2014;Físico;9788534703840;https://www.pallaseditora.com.br/produto/Lendas_de_Exu/136/12/;pt-BR;;juvenil;163;;MARTINS, Adilson.Lendas de Exu. SãoPaulo:Pallas, 2014.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/136/89_max.jpg;africana
"""Kalinda e a princesa que perdeu os cabelos e outras histórias africanas""";;Celso Sisto;Celso Sisto; Contos tradicionais africanos;Neste livro, o autor traz diversos contos do continente africano, por meio dos quais o leitor poderá explorar a riqueza da cultura dos diferentes povos que lá vivem.;Material de apoio do professor: http://media.brinquebook.com.br/blfa_files/kalinda_projeto.pdf.;Escarlate;1ª;2016;Físico;9788583820321;Terminal - Sophia Biblioteca Web (bn.gov.br);pt-BR;;infantojuvenil;64;;SISTO, Celso.Kalinda, princesa que perdeu os cabelos, e outras histórias africanas.São Paulo: Escarlate, 2016.;https://m.media-amazon.com/images/I/91ramgYRSrL._SL1500_.jpg;africana
"""Danite e o leão. Um conto das montanhas da Étiopia""";;Rogério Andrade Barbosa;Ciça Fittipaldi;Etiópia, Conto africano;Danite estava muito feliz com seu recente casamento, mas não imaginava a dificuldade que teria para lidar com a resistência de seu enteado, Beshir. Buscando conselhos, ela recorre a um monge que lhe propõe uma tarefa em troca da ajuda: Trazer-lhe três fios de bigode de um leão;;Brasil;;2016;Físico;;Terminal - Sophia Biblioteca Web (bn.gov.br);pt-BR;;infantojuvenil;32;;BARBOSA, Rogério Andrade. Danite e o leão. Um conto das montanhas da Etiópia.São Paulo: Editora do Brasil, 2016.;https://m.media-amazon.com/images/I/51h7KVV2xrS._SY445_SX342_.jpg;africana
"""Contos de Moçambique""";;Luana Chnaiderman de Almeida    adaptação;"Chistiana Piana
fotografia e pesquisa";Contos, mitos, lendas e fábulas, Mocambique,Tradição popular;Este livro traz as narrativas fantásticas recolhidas pelo fotógrafo italiano Christian Piana e recontadas pela escritora Luana Chnaiderman de Almeida. Nelas, vamos conhecer a moça que se casa com um pombo, os cães que fazem os serviços domésticos e outras histórias.;Premiações: FNLIJ 2018 - Categoria reconto;FTD;;2017;Físico;;Terminal - Sophia Biblioteca Web (bn.gov.br);pt-BR;;infantojuvenil;96;;ALMEIDA, Luana Chnaiderman de. Contos de Moçambique. São Paulo: FTD, 2017.;https://m.media-amazon.com/images/I/91LJhVUoHCL._SL1500_.jpg;africana
"""O presente de aniversário do Marajá""";;James Rumford ;James Rumford ;Fábulas africanas;Esta é uma fábula de um grupo de animais que tenta encontrar o presente perfeito para oferecer ao marajá no dia do seu aniversário.;;Brinque-Book;1ª;2017;Físico;;Terminal - Sophia Biblioteca Web (bn.gov.br);pt-BR;;infantojuvenil;32;;RUMFORD, James. O presente de aniversário do Marajá. São Paulo: Brinque-Book, 2004.;https://acervo.bn.gov.br/sophia_web/capa/capa/185102;africana
"""O convidador de pirilampos""";;Ondjaki;António Jorge Gonçalves ;Literatura angolana,Cotidiano;Neste livro, Ondjaki narra a história de um menino e seu avô que, com uma bela cumplicidade, compartilham descobertas da natureza pela observação e da “cientistação” das coisas. Este livro é inspirado na temática “estórias sem luz elétrica”.;;Pallas;1ª;2018;Físico;9788534705424;https://www.pallaseditora.com.br/busca/?keyword=o+convidador;pt-BR;;juvenil;64;;ONDJAKI. O convidador de Pirilampos. Rio de Janeiro: Pallas, 2018.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/300/643_max.jpg;africana
""" O filho querido de Olokun"" ";;Rogério Athayde;Clara Zuniga;Mitologia iorubá,Orixás;História de um pescador que se encontrou com o seu pai Olokun, no fundo do mar, a quem tanto devotava. Olokun lhe deu riqueza e atendeu aos seusdesejos. Porém, sua ganância não o fez perceber o que deixou para trás: sua vida simples e cheia de afetos com sua mulher e filha.;;Pallas;1ª;2018;Físico;9788534705431;https://www.pallaseditora.com.br/produto/O_filho_querido_de_Olokun/312/;pt-BR;;infantojuvenil;52;;ATHAYDE, Rogério. O filho querido de Olokun. Rio de Janeiro: Pallas, 2018.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/312/667_max.jpg;africana
"""Mãe Sereia""";;Teresa Cárdenas;Vanina Starkoff;Mitologia africana, Navio negreiro, Diáspora;Como seria a travessia de um navio saído da costa da África que, em seu interior, juntou pessoas de diferentes idades e famílias para, num mesmo suspiro, enfrentar o medo e a escuridão do mar desconhecido? Nesse percurso, Mãe Sereia os acompanhou e, a sua maneira, os acolheu amenizando assim essa injusta e dolorosa viagem.;;Pallas;1ª;2018;Físico;9788567751160;https://www.pallaseditora.com.br/produto/Mae_Sereia/304/;pt-BR;;infantojuvenil;32;;CÁRDENAS, Teresa. Mãe Sereia. Rio de Janeiro: Pallas, 2018.;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/304/653_max.jpg;africana
""" O segredo das tranças e outras histórias africanas""";;Rogério Andrade Barbosa;Thais Linhares;Países lusófonos, Contos e fábulas africanas;A obra fala de cinco contos africanos: O segredo das tranças (Angola), Maria Condão (Cabo Verde), O menino e a cegonha (Guiné Bissau), A herança maldita (Moçambique), A tartaruga e o gigante (São Tomé e Príncipe).;;Scipione;1ª;2019;Físico;9788526267862;Terminal - Sophia Biblioteca Web (bn.gov.br);pt-BR;;juvenil;72;;BARBOSA, Rogério Andrade. O segredo das tranças e outras histórias africanas. São Paulo: Scipione, 2007.;https://m.media-amazon.com/images/I/71KXqAMPr+L._SL1382_.jpg;africana
"""A orelha vai à escola todos os dias""";;Rogério  Andrade Barbosa;Marcelo Pimentel;Provérbios africanos;Livro infantil de provérbios africanos;;Brasil;1ª;2019;Físico;;https://www.editoradobrasil.net.br/orelha-vai-a-escola-todos-os-dias-a-proverbios-africanos-para-ler-e-refletir/;pt-BR;;infantojuvenil;32;;BARBOSA, Rogério Andrade. A orelha vai á escola todos os dias. São Paulo: Editora do Brasil, 2019.;https://www.editoradobrasil.net.br/wp-content/uploads/2019/08/a-orelha-vai-a-escola-todos-os-dias-9788510071512.jpg;africana
"""Kakopi, kakopi: brincando e jogando com as crianças de vinte países africanos""";;Rogério  Andrade Barbosa;Marilia Pirilho;Quênia,Brincadeiras do continente africano;Korir e Chentai, dois irmãos que vivem e estudam no Quênia, estão sempre em busca de novas brincadeiras pelo continente africano. Dessa vez, eles pesquisaram e recolheram para um trabalho escolar vinte jogos de diversos países.;;Melhoramentos;1ª;2019;Físico;;Terminal - Sophia Biblioteca Web (bn.gov.br);pt-BR;;infantojuvenil;48;;BARBOSA, Rogério Andrade. Kakopi, kakopi: brincando e jogando com as crianças de vinte países africanos. São Paulo: Melhoramentos, 2019.;https://m.media-amazon.com/images/I/91CZyfpuRTL._SL1500_.jpg;africana
"""Capulana, um pano estampado de histórias""";;Heloisa Pires Lima, Mário Lemos;Vanina Starkoff; Tecido africano,Moçambique;Dandara, uma menina que mora em São Paulo, recebe um presente de seu amigo Tulany, de Moçambique. É uma capulana! Na terra do garoto, o uso desse tecido é tradição. Ele serve para muitas coisas: cobrir o corpo ou a cabeça, enfeitar, carregar bebê n as costas, presentear alguém em ocasiões especiais..;;Scipione;1ª;2019;Físico;;Terminal - Sophia Biblioteca Web (bn.gov.br);pt-BR;;infantojuvenil;48;;LIMA, Heloisa Pires, LEMOS, Mário. Capulana: um pano estampado de histórias. São Paulo: Scipione, 2014.;https://m.media-amazon.com/images/I/911+mLUUKoL._SL1500_.jpg;africana
"""Sona: contos africanos desenhados na areia"" ";;Rogério Andrade Barbosa;Thais Linhares;Povo quioco, Conhecimento ancestral, Tradição oral africana;Com desenhos complexos feitos na areia, o povo quioco, que habita uma região da África, repassa o conhecimento ancestral para os mais jovens e os ensina, assim, a amar histórias. ;Série: Cometa literatura;Brasil;1ª;2020;Físico;9788510080651;https://www.editoradobrasil.net.br/sona-contos-africanos/;pt-BR;;infantojuvenil;32;;BARBOSA, Rogério Andrade. Sona: contos africanos desenhados na areia. São Paulo: Editora do Brasil, 2020.;https://www.editoradobrasil.net.br/wp-content/uploads/2020/07/sona_capa.jpg;africana
"""À sombra da mangueira""";;Angelo Abu e alunos do Hakumana;Angelo Abu; Moçambique,Região de Changana e Ronga,Histórias tradicionais africanas, Línguas locais;São histórias africanas que nasceram numa roda de narradores e ouvintes, formada pelo artista Angelo Abu e alunos da ONG Hakunama, em Maputo, Moçambique. Eles se reuniram durante várias manhãs à sombra de uma frondosa mangueira, em torno de histórias do repertório tradicional do país e das imagens que cada história produzia. ;"Vencedor Prêmio FNLIJ 2022 Figueiredo Pimentel,  O Melhor Livro de Reconto Selo Altamente Recomendável na Categoria Reconto - 48ª Seleção Anual da FNLIJ 2022, Premiado ""Livro imperdível"" pela Revista Emília em 2021";Peirópolis;1ª;2021;Físico;9786586028904;https://www.editorapeiropolis.com.br/produto/a-sombra-da-mangueira/;pt-BR;;juvenil;56;;ABU, Angelo. À sombra da mangueira. São Paulo: Editora Peirópolis, 2021.;https://www.editorapeiropolis.com.br/wp-content/uploads/2020/09/CAPA_SOMBRA_DA_MANGUEIRA_300dpi-1-scaled.jpg;africana
""" O mar de Manu""";;Cidinha da Silva ;Josias Marinho;Tradições, Colonialismo,  Cultura Islamizada;Na vida de Manu, o personagem principal, podemos ver um pouco da cultura e das tradições dos povos da região de Níger, Burkina Faso e Mali, de cultura islamizada e separados pelo colonialismo.;;Yellowfante;1ª;2021;Físico;;O mar de Manu | Amazon.com.br;pt-BR;;infantojuvenil;32;;SILVA, Cidinha. O mar de Manu. Belo Horizonte: Yellowfante, 2021.;https://m.media-amazon.com/images/I/810tPRHPQWL._SL1500_.jpg;africana
"""Nas garras dos balbuínos: um reconto da tradição oral do povo Zulu""";;Rogério Andrade Barbosa;Mauricio Negro; Povo Zulu, Lendas da África do Sul;Entre as histórias contadas ao pé da fogueira pelo povo Zulu, no interior da África do Sul, abundam contos sobre crianças raptadas e cuidadas por babuínos. A versão aqui recontada é baseada numa dessas inúmeras lendas.;Selo Cátedra UNESCO de Leitura PUC-Rio 2021;Gaivota ;;2021;Físico;;Nas garras dos babuínos – Editora Biruta;pt-BR;;infantojuvenil;36;;BARBOSA, Rogério Andrade. Nas garras dos babuínos: um reconto da tradição oral do povo Zulu. São Paulo: Gaivota, 2021.;https://m.media-amazon.com/images/I/81Ootv2Y6qL._SL1500_.jpg;africana
"A estória do sol e do rinoceronte"" ";;Ondjaki;Catalina Vásquez ;Continente africano, Animais africanos;O rinoceronte triste e melancólico encontra seu amigo, o sol, com quem tem uma importante conversa. O sol lhe dá um presente para que ele pense melhor em seus sentimentos. Ele que só tinha um chifre grande, ganha um pequenino. E, assim, aumenta sua autoconfiança e segurança. Ele aprende que tudo na vida tem dois lados e que às vezes estamos tristes e outras felizes.;;Pallas;1ª;2021;Físico;;https://www.pallaseditora.com.br/produto/A_estoria_do_sol_e_do_rinoceronte/332/;pt-BR;;infantojuvenil;28;;ONDJAKI. A estória do sol e do rinoceronte. Rio de Janeiro: Pallas. 2021. ;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/332/724_max.jpg;africana
"""Dumazi e o grande leão amarelo""";;Valanga Khoza ;Matt Ottley, Gilda de Aquino (tradutor) ; Cultura Zulu, Contos africanos;Dumazi, uma menina zulu, foi ao poço buscar água e se deparou com um enorme leão amarelo, preso numa armadilha, pedindo ajuda. Compadecida, ela solta o grande animal, mas impõe uma condição: mesmo que ele esteja com fome, precisa poupá-la. O leão aceita. Mas será que ele vai cumprir a promessa?;"Material de apoio do professor: 
http://media.brinquebook.com.br/downloads/PROJETOS/BRINQUE-BOOK/dumazi_projeto.pdf";Brinque-Book;1ª;2021;Físico;9786556540115;https://www.companhiadasletras.com.br/livro/9786556540115/dumazi-e-o-grande-leao-amarelo;pt-BR;;infantojuvenil;36;;KHONZA, Valanga. Dumazi e o grande leão amarelo. São Paulo: Brinque-Book, 2021.;https://cdl-static.s3-sa-east-1.amazonaws.com/covers/gg/9786556540115/dumazi-e-o-grande-leao-amarelo.jpg;africana
"""O rei que assobiava"" ";;Heloisa Pires Lima ;Flávia Carvalho;África, Arte rupestre, Contos;História de um rei que amava seu cavalo, vivia sonhos sem limites e assobia alegrias. O conteúdo é universal, mas a origem da obra é negro-africana para o maravilhamento infantil. ;;Passarinhos ;1ª;2021;;9786587345116;https://www.amazon.com.br/Rei-assobiava-Heloisa-Pires-Lima/dp/6587345115;pt-BR;;infantojuvenil;24;;LIMA, Heloisa Pires. O rei que assobiava. São Paulo: Passarinhos, 2022.;https://martinsfontespaulista.vteximg.com.br/arquivos/ids/1463613-1000-1000/988897.jpg?v=637830394952230000;africana
"""A carta de Moussa"" ";;Rose Rimbau, Rocío Araya     ;Rocío Araya, Nina Rizze tradução ;Thille Boubacar,Senegal,Infância;Uma folha de papel que veio com o vento dá a Moussa a ideia de fazer um desenho para o pai que está distante vivendo em outro país. Nesta obra vamos conhecer o lugar onde Moussa vive, sob seu olhar, sob o olhar de Mariama e o de muitas outras crianças de Thille Boubacar, no Senegal.;Premiações: Obra selecionada para figurar o Catálogo White Ravens da Biblioteca Internacional da Juventude, de Munique, Alemanha.;Brinque-Book;;2022;Físico;9786556540474;https://www.companhiadasletras.com.br/livro/9786556540474/a-carta-de-moussa;pt-BR;;infantojuvenil;40;;ARAYA, Rocío, RIMBAU, Rose. A carta de Moussa. São Paulo: Brinque -Book, 2022.;https://cdl-static.s3-sa-east-1.amazonaws.com/covers/gg/9786556540474/a-carta-de-moussa.jpg;africana
"""Do arco e flecha ao berimbau"" ";;Rui Rosa ;Camilo Martins;Ancestralidade africana,Instrumentos de corda,  Berimbau;O nosso mundo nasceu das primeiras civilizações africanas. E foi assim também com os instrumentos de corda, que vieram do arco musical africano, que tem mais de 30 mil anos. Muito tempo para sabermos ao certo sua origem, mas dizem que está ligada ao arco e flecha do caçador. Do arco e flecha ao berimbau!;;Pallas;1ª;2022;Físico;;https://www.pallaseditora.com.br/produto/Do_arco_e_flecha_ao_berimbau/356/;pt-BR;;infantojuvenil;40;;ROSA, Rui. Do arco e flecha ao Berimbau. Rio de Janeiro: Pallas, 2022. ;https://www.pallaseditora.com.br/admin/_m2brupload/produtos/356/758_max.jpg;africana
"""Guardiãs de memórias nunca esquecidas"" ";;Otávio Júnior;Roberta Nunes;Tradição africana, Memória;A obra busca resgatar a energia das raízes africanas, representadas por um dos maiores símbolos daquele continente.;Prêmios:  Jabuti 2020 na categoria Livro Infantil;Estrela Cultural ;1ª;2022;Físico;;https://www.estrela.com.br/guardias-de-memorias-nunca-esquecidas/p;pt-BR;;infantojuvenil;32;;JÚNIOR, Otavio. Guardiãs de memórias nunca esquecidas. São Paulo: Estrela Cultural, 2022.;https://estrela.vtexassets.com/arquivos/ids/172147-800-auto?v=638146516526670000&width=800&height=auto&aspect=true;africana
"""Diário de Pilar na África""";;Flávia Lins e Silva;Joana Pena;Continente africano,Cultura iorubá, Savana, Rio Congo;Na luta pela liberdade e contra a injustiça, Pilar e seus amigos vão parar do outro lado do Atlântico. Nessa aventura eles aprendem muito sobre a cultura africana.;;Pequena Zahar;1ª;2022;Físico;9788566642414;https://www.companhiadasletras.com.br/livro/9788566642414/diario-de-pilar-na-africa;pt-BR;;infantojuvenil;200;;SILVA, Flávia Lins. Diário de Pilar na África. São Paulo: Pequena Zahar, 2022.;https://cdl-static.s3-sa-east-1.amazonaws.com/covers/gg/9788566642414/diario-de-pilar-na-africa.jpg;africana
"""Nelson Mandela o prisioneiro mais famoso do mundo""";;Seong Eun Gang ;Gyeong Su Gang ;Nelson Mandela,Biografia, Continente africano;Esta é a história de Nelson Mandela, um homem que lutou com todas as suas forças pelo fim do regime racista na África do Sul.;;Pallas;1ª;2011;Físico;9788534704564;Nelson Mandela O Prisioneiro Mais Famoso Do Mundo | Amazon.com.br;pt-BR;;infantojuvenil;42;;GANG, Seong Eun. Nelson Mandela o prisioneiro mais famoso. Rio de Janeiro:Pallas, 2011.;https://m.media-amazon.com/images/I/71P5SqDqy8L._SL1348_.jpg;africana
"""Mandela: o africano de todas as cores""";;Alain Serres ;Zau;Nelson Mandela,Biografia, Continente africano;O livro conta a história do líder negro Nelson Mandela, que liderou a resistência contra décadas de apartheid na África do Sul.;"Premiações: Selo Altamente Recomendável/FNLIJ 2014 - Categoria Tradução/Adaptação Informativo. A obra, que integra o catálogo da Pequena Zahar, conta ainda com a seção ""Para compreender melhor"", em que o leitor encontrará material de pesquisa que inclui: palavras-chave, fotos, um mapa e uma cronologia da vida de Mandela";Pequena Zahar;2ª;2013;Físico;9788566642322;Mandela: O africano de todas as cores | Amazon.com.br;pt-BR;;Juvenil;64;;SERRES, Alain. Madela: o africano de todas as cores.São Paulo: Pequena Zahar, 2013.;https://m.media-amazon.com/images/I/91-qP5IdwPL._SL1500_.jpg;africana
